id,generation,evaluation_score,this_image_path,init_image_path,image_strengs,seed,steps,prompt_length,cfg_scale,prompt
32,4,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_112.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,20,7.2,"[""Children's playground"", 'Slides', 'Rocking animals', 'Swings', 'Play structures', 'Play zone', 'Amusement equipment', 'Wide spaces', 'Seating area', 'Colorful play equipment', 'Flower beds', 'Garden areas', 'Amphitheater', 'Eco-friendly design', 'Outdoor fun', 'Open spaces', 'Sustainable design', 'Picnic tables', 'Outdoor seating', 'Benches']"
33,5,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_113.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,8.8,"['Playground', 'Dining Seats', 'Play zone', 'Amusement equipment', 'Climbing Structures', 'Rocking animals', 'Recreation Gear', 'Seating area', 'Outside Adventure', 'Fun Section', 'Planter Sections', 'Amusement Spot', 'Wide spaces', 'Outdoor Stage', 'Playing Field', ""Children's playground"", 'Bloom Beds', 'Relaxation Zone', 'Open Areas', 'Picnic Tables']"
34,5,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_114.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.31,2066,4,15,8.8,"['Cycle Path', 'Dining Tables', 'Play Structures', 'Climbing Equipment', 'Picnic Area', 'Outdoor Recreation', 'Adventure Area', 'Blooming Gardens', 'Fun Area', 'Amusement Section', 'Stage Outdoors', 'Playing Grounds', 'Planter Areas', 'Swing Sets', 'Slide Region']"
35,5,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_115.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.11,9499,4,20,9.1,"['Kids Park', 'Recreation Zone', 'Open Play', 'Outdoor Gear', 'Play Equipment', 'Activity Zone', 'Swing Area', 'Slides Zone', 'Rocking Animals', 'Outdoor Fun', 'Adventure Field', 'Climbing Area', 'Active Space', 'Playground Seating', 'Garden Areas', 'Relax Zone', 'Planters', 'Eco Design', 'Picnic Benches', 'Stage Area']"
36,5,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_116.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,20,7.2,"['Slides', 'Playing Equipment', 'Fun Zone', 'Picnic Tables', 'Swing Sets', 'Garden Blooms', 'Rocking Horses', ""Children's playground"", 'Entertainment Zone', 'Rocking animals', 'Amusement Equipment', 'Lawn Spaces', 'Cycle Paths', 'Outdoor Play', 'Swings', ""Children's Park"", 'Play structures', 'Play zone', 'Open Fields', 'Amusement equipment']"
37,5,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_117.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,8.8,"['Recreation Gear', 'Picnic Tables', 'Amusement Equipment', 'Slides', 'Climbing Structures', 'Playing Equipment', 'Entertainment Zone', 'Fun Zone', 'Playground', 'Amusement Spot', 'Planter Sections', 'Swing Sets', 'Rocking Horses', 'Garden Blooms', 'Outdoor Stage']"
38,5,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_118.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,1,15,7.2,"['Climbing Structures', 'Outside Adventure', 'Amusement Spot', ""Children's playground"", 'Slides', 'Dining Seats', 'Playground', 'Rocking animals', 'Recreation Gear', 'Swings', 'Play structures', 'Playing Field', 'Planter Sections', 'Play zone', 'Amusement equipment']"
39,5,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_119.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9089,4,13,8.8,"['Amusement Equipment', 'Fun Zone', 'Entertainment Zone', 'Playground', 'Playing Equipment', 'Dining Seats', 'Climbing Structures', 'Picnic Tables', 'Recreation Gear', 'Outside Adventure', 'Fun Section', 'Slides']"
40,5,56,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_120.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,20,7.2,"['Slides', 'Amusement Equipment', 'Playing Equipment', 'Wide spaces', 'Entertainment Zone', 'Fun Zone', 'Picnic Tables', 'Swing Sets', 'Rocking Horses', 'Garden Blooms', 'Cycle Paths', 'Colorful play equipment', 'Play structures', 'Seating area', 'Lawn Spaces', 'Amusement equipment', 'Outdoor Play', 'Garden areas', ""Children's Park"", 'Open Fields']"
41,6,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_121.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,3838,4,11,8.8,"['Slides Area', 'Play Equipment', 'Recreation Gear', 'Fun Zone', 'Picnic Area', 'Entertainment Spot', 'Swing Area', 'Garden Blooms', 'Open Spaces', 'Rocking Animals', 'Climbing Frames']"
42,6,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_122.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,8.0,"['Recreation Gear', 'Picnic Tables', 'Climbing Structures', 'Amusement equipment', 'Play zone', 'Rocking animals', 'Seating area', 'Playground', 'Amusement Equipment', 'Slides', 'Fun Section', 'Planter Sections', 'Playing Equipment', 'Entertainment Zone', 'Amusement Spot']"
43,6,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_123.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,8.8,"['Amusement Spot', 'Climbing Structures', 'Dining Seats', 'Play zone', 'Playground', 'Outside Adventure', 'Rocking animals', 'Recreation Gear', 'Amusement equipment', 'Seating area', 'Slides', 'Fun Section', 'Planter Sections', 'Swings', 'Play structures']"
44,6,54,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_124.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,1,11,7.2,"['Climbing Structures', 'Recreation Gear', 'Amusement Spot', 'Slides', ""Children's playground"", 'Playground', 'Picnic Tables', 'Amusement Equipment', 'Rocking animals', 'Playing Equipment', 'Entertainment Zone', 'Fun Zone', 'Planter Sections', 'Swings', 'Outside Adventure']"
45,6,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_125.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,8.8,"['Playground', 'Recreation Gear', 'Climbing Structures', 'Play zone', 'Dining Seats', 'Amusement equipment', 'Seating area', 'Amusement Equipment', 'Slides', 'Amusement Spot', 'Outside Adventure', 'Planter Sections', 'Playing Equipment', 'Entertainment Zone', 'Fun Zone']"
46,6,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_126.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,1161,1,15,8.8,"['Play Slide', 'Animal Rocker', 'Swing Set', 'Fun Area', 'Recreation Equipment', 'Climbing Frame', 'Picnic Bench', 'Garden Flowers', 'Play Spot', 'Colorful Toys', 'Entertainment Area', 'Planter Space', 'Amusement Area', 'Playground Gear', 'Climbing Structure']"
47,6,56,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_127.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,20,7.2,"['Climbing Structures', 'Slides', 'Outside Adventure', ""Children's playground"", 'Recreation Gear', 'Rocking animals', 'Amusement Spot', 'Amusement Equipment', 'Playing Equipment', 'Play structures', 'Wide spaces', 'Entertainment Zone', 'Fun Zone', 'Picnic Tables', 'Playground', 'Swing Sets', 'Rocking Horses', 'Amusement equipment', 'Dining Seats', 'Garden Blooms']"
48,6,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_128.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,7.1,"['Playground', 'Dining Seats', 'Climbing Structures', 'Play zone', 'Rocking animals', 'Amusement Spot', 'Outside Adventure', 'Recreation Gear', 'Amusement equipment', 'Swings', 'Slides', 'Play structures', 'Seating area', 'Planter Sections', 'Fun Section']"
49,7,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_129.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,19,7.2,"['Climbing Structures', 'Slides', 'Recreation Gear', ""Children's playground"", 'Outside Adventure', 'Amusement Spot', 'Rocking animals', 'Amusement Equipment', 'Playground', 'Playing Equipment', 'Entertainment Zone']"
50,7,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_130.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,15,8.8,"['Dining Seats', 'Rocking animals', 'Play Slide', 'Animal Rocker', 'Swing Set', 'Fun Area', 'Recreation Equipment', 'Climbing Structures', 'Climbing Frame', 'Recreation Gear', 'Play zone', 'Outside Adventure', 'Playground', 'Swings', 'Picnic Bench']"
51,7,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_131.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,1,15,7.2,"['Climbing Structures', 'Playground', 'Amusement Spot', 'Rocking animals', 'Play zone', 'Slides', 'Recreation Gear', ""Children's playground"", 'Picnic Tables', 'Amusement Equipment', 'Swings', 'Playing Equipment', 'Entertainment Zone', 'Fun Zone', 'Amusement equipment']"
52,7,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_132.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,1,11,8.8,"['Recreation Gear', 'Amusement Spot', ""Children's playground"", 'Picnic Tables', 'Play Slide', 'Slides', 'Animal Rocker', 'Swing Set', 'Playground', 'Fun Area', 'Recreation Equipment']"
53,7,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_133.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,990,4,11,4.7,"['Playground equipment', 'Climbing frames', 'Animal rockers', 'Swings and slides', ""Kids' amusement"", 'Outdoor play gear', 'Play area', 'Picnic spots', 'Recreation space', 'Amusement fixtures', 'Open grounds']"
54,7,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_134.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.37,9499,3,20,9.1,"[""Children's Park"", 'Playground Equipment', 'Rocking Horse', 'Amusement Zone', 'Picnic Table', 'Climbing Wall', 'Swing Set', 'Slide', 'Colorful Playground', 'Play Area', 'Adventure Playground', 'Slides', 'Swings', 'Outdoor Fun', 'Playground Structures', 'Entertainment Zone', 'Climbing Equipment', 'Rocking Animal', 'Amusement Playground', 'Picnic Spot']"
55,7,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_135.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,6377,1,20,6.4,"['Play Slide', 'Animal Rocker', 'Swing Set', 'Fun Area', 'Recreation Equipment', 'Play structures', 'Climbing Frame', 'Picnic Bench', 'Garden Flowers', 'Play Spot', 'Colorful Toys', 'Entertainment Area', 'Amusement Equipment', 'Planter Space', 'Slides', 'Amusement Area', 'Rocking animals', 'Playground Gear', 'Playing Equipment', 'Climbing Structure']"
56,7,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_136.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.18,9499,1,15,8.8,"['Climbing Structures', 'Recreation Gear', 'Amusement Spot', 'Playground', 'Slides', ""Children's playground"", 'Rocking animals', 'Dining Seats', 'Play zone', 'Picnic Tables', 'Entertainment Zone', 'Amusement Equipment', 'Playing Equipment', 'Fun Zone', 'Amusement equipment']"
57,8,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_137.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,1,12,3.5,"['Climbing Structures', 'Playground', ""Children's playground"", 'Amusement Spot', 'Slides', 'Rocking animals', 'Recreation Gear', 'Amusement Equipment', 'Playing Equipment', 'Picnic Tables', 'Entertainment Zone', 'Outside Adventure', 'Swings', 'Play zone', 'Fun Zone', 'Amusement equipment']"
58,8,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_138.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,11,8.8,"['Climbing Structures', 'Rocking animals', 'Dining Seats', 'Slides', 'Playground', 'Recreation Gear', 'Play Slide', 'Animal Rocker', 'Play zone', 'Swing Set', 'Fun Area', 'Recreation Equipment', 'Climbing Frame', 'Amusement Equipment', 'Entertainment Zone']"
